,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
10,0.07042468683,0.04429285165,0.02879270502,0.01868212028,0.01396546501,0.01057873239,0.008755270255,0.007016315597,0.003599088127,0.004209661218,0.002938308274,0.002926761136,0.001962779568,0.002035769486,0.001098325114,0.002404046725,0.001171034549,0.0008166027201,0.0007482624405,0.0007490819278,0.0006597457761,0.0005679816077,0.0005110003636,0.0004022519127,0.0005327632035,0.0004369121589,0.0004340020354,0.0003304621596,0.0003713019813,0.0004029966869,0.0002918279317,0.0006126669218,0.000314654075,0.0004171175638,0.0003049718348,0.000218745077,0.0002883466665,0.000211083099,0.0002679537748,0.0001822508974,0.0001952303655,0.0002718291804,0.0001862889702,0.0002420028809,0.0001616735492,0.0002231118734,0.0001548133693,0.0003235469164,0.0001304298129,0.0001263117517,0.0002061676783,0.0001307540281,0.0001485435004,0.0001135848462,0.0001151190521,0.0001276103373,0.0001298919023,0.0001136214636,0.0001192036267,0.0001210927239,0.00009783772266,0.0001069530627,0.0001082032371,0.0001797590527
20,0.3352855051,0.2397961558,0.1715784216,0.1228306475,0.05976684839,0.05011087121,0.04049354579,0.02973717016,0.0261022204,0.02464957183,0.02071323476,0.01401285838,0.01123191368,0.01052297286,0.009525262049,0.01251676189,0.005184895225,0.005265142458,0.004350292932,0.004220938806,0.003805963452,0.004386797633,0.003547903759,0.003197038063,0.00309171642,0.003582919643,0.002760339823,0.00255383499,0.002890768504,0.002711727927,0.002030860407,0.003498932495,0.002203028828,0.001776757835,0.001745630841,0.001617935486,0.001387696752,0.001516164476,0.001373769207,0.001293492996,0.001329335566,0.001293893501,0.001285654615,0.001226734892,0.00105254933,0.001109413945,0.001199630786,0.001630273829,0.0009703510439,0.0008366043848,0.0009017826155,0.0008395385593,0.0007528088427,0.0008009087691,0.000718041659,0.0007570103344,0.0006657907045,0.0006756581323,0.0006511783738,0.0006146682939,0.000596696853,0.0005959942248,0.000646696089,0.0008228012642
30,0.3793633923,0.2812091808,0.2383802167,0.1674279084,0.1371506579,0.1247619836,0.09557045088,0.08898321765,0.05861019553,0.04843625845,0.04130895446,0.03039899948,0.03488885816,0.02927818049,0.02218188063,0.02810681543,0.01504078745,0.01517058095,0.0152744958,0.01233566319,0.01040576379,0.01010018267,0.01094720173,0.008842824227,0.009410091409,0.007603092025,0.008594460651,0.007301478438,0.007531931784,0.006659596094,0.006939578391,0.007552050853,0.005308637191,0.004794165985,0.00444366541,0.004651378129,0.004198520395,0.003858313994,0.003964650506,0.003657106186,0.00325629005,0.003068438185,0.003176948885,0.003015938243,0.003039156619,0.002874692101,0.002604163042,0.004123224305,0.002417727219,0.002556343503,0.002370490461,0.00226729622,0.002059143011,0.00213228516,0.00205167031,0.002187497379,0.002370956025,0.002196205534,0.00216655614,0.002139232271,0.001989956099,0.001958784788,0.001932872133,0.002334571277
40,0.5180955253,0.452198706,0.3378290087,0.2843822844,0.1919884535,0.1752772978,0.1495995719,0.1284458538,0.1120403428,0.1058724606,0.09662290799,0.06579579306,0.04859012802,0.04027550965,0.03827291121,0.04840337871,0.03343218431,0.03165522853,0.02867194607,0.02740935225,0.02594179861,0.02455002389,0.02231130537,0.02163658554,0.01957496047,0.01735718761,0.01673397021,0.01510975975,0.01396130542,0.01292106622,0.01258642849,0.01375281486,0.01183072306,0.01070132113,0.0105055289,0.009749604268,0.00912130365,0.009314380209,0.008788900826,0.008538198895,0.008018577135,0.007710399662,0.006934885302,0.006827200922,0.006562788214,0.006254614344,0.006032164253,0.007276990831,0.005539088988,0.005223573599,0.005204424745,0.004895983503,0.004777172216,0.004516641039,0.004489789474,0.004370350885,0.004242774115,0.004169586157,0.003923575064,0.003771005344,0.003660098162,0.003391326474,0.003389895578,0.003985879878
50,0.3155871727,0.4219438666,0.3699899052,0.3374565727,0.2583997322,0.219687874,0.2136505695,0.1869512576,0.1335112852,0.1233316843,0.1142791795,0.1057252006,0.08919630342,0.08681349653,0.06906736619,0.05945797559,0.04952825186,0.04753106941,0.04341626811,0.04158478633,0.03640049749,0.03733604106,0.03416493196,0.03270735178,0.02852082517,0.02765488835,0.02410810051,0.02284431068,0.02194870092,0.01916407833,0.01815187813,0.02125061798,0.0161007879,0.01690745016,0.01585851214,0.01516811969,0.01403559288,0.01323791628,0.01275122513,0.01224689779,0.01131289921,0.01128845656,0.01073227635,0.01021251731,0.009531273677,0.009261120929,0.009310739024,0.01074571447,0.00839219532,0.007949942286,0.007801446528,0.007593602128,0.007281355536,0.007073220742,0.006791718068,0.006878373086,0.006224438072,0.006325568321,0.00592297685,0.005733640552,0.005313369117,0.005275439157,0.005130624376,0.006469280036
60,0.3618909072,0.4340254374,0.4267239522,0.3797250873,0.3267437148,0.300634115,0.247178296,0.2184986803,0.1864691217,0.1612711757,0.1472994968,0.1344049842,0.1196578198,0.1151617835,0.101017133,0.07724219227,0.0621660637,0.06229758685,0.05845656165,0.05512206817,0.05009741237,0.0452287739,0.04459439836,0.04129444883,0.04033034978,0.03717138463,0.0350629118,0.03178148737,0.02972644119,0.02799834981,0.02636943076,0.0318542898,0.02443597889,0.02307949286,0.02315191842,0.02130507261,0.02041490268,0.01876081464,0.01873558461,0.0185769162,0.01738203012,0.01657091788,0.01539047216,0.0148452097,0.01441574712,0.01433889813,0.0130872103,0.01521474663,0.01223361994,0.01165076229,0.01138471609,0.01120317471,0.009895347996,0.01028917946,0.01039989711,0.01007211208,0.00943424921,0.009305754178,0.008793843527,0.008549939112,0.008096404579,0.008336450625,0.007622106176,0.008953124788
70,0.3846418658,0.3141554755,0.4580552772,0.4235108744,0.3744378808,0.3499992305,0.3026677903,0.2614195963,0.1985912445,0.1825323553,0.1744832887,0.1641141295,0.1479788893,0.1358382433,0.1261558122,0.09181370267,0.08665365869,0.0809398161,0.07279820144,0.07090934257,0.0663814837,0.06122074185,0.05708359747,0.05975468765,0.04891931046,0.03750940049,0.03563384768,0.03570320025,0.03327760411,0.0323636717,0.02882138017,0.03687913724,0.02481608524,0.02331357345,0.02889167284,0.02793820389,0.02581517439,0.02611049534,0.02370843285,0.02367862755,0.02189707679,0.02121915269,0.02064753224,0.01972840032,0.01830975488,0.01764162881,0.01718760427,0.01858773196,0.01590862339,0.01548380294,0.01500865953,0.0145338717,0.01253767568,0.01353386584,0.01371086988,0.01290693789,0.01226902748,0.01221042668,0.0119667357,0.01145244106,0.01095105023,0.01057419458,0.01042899074,0.01119485221
80,0.3934697533,0.3076777921,0.3074375851,0.4216615557,0.3795824957,0.3533268953,0.3174972782,0.2921878786,0.2051654532,0.1931468159,0.1862361673,0.1738672343,0.1590240416,0.1506926014,0.1415294328,0.09865562824,0.1006610688,0.09021522977,0.08527174855,0.07909165292,0.07383820898,0.0680150722,0.06844992578,0.06189981952,0.05756910387,0.05850852534,0.05250612501,0.05023829579,0.04487266556,0.0445732056,0.04190238185,0.04485924474,0.0363128945,0.0351511389,0.03470570027,0.03310506115,0.0298905089,0.02971147044,0.02836564626,0.02783098377,0.02532202233,0.0254040673,0.02426855032,0.02359318411,0.02169939326,0.02115984533,0.02073716653,0.02329571809,0.01854840389,0.01858030906,0.01804347377,0.01763344035,0.01641645607,0.01614147772,0.0160431365,0.01557544701,0.01481286527,0.01446482373,0.01419355742,0.01358613548,0.0124950182,0.01217735641,0.01258299515,0.01347316835
90,0.4077550178,0.3402715892,0.3132486642,0.4176218092,0.2747242694,0.3844028398,0.3666017518,0.3054243866,0.2199387885,0.2051785209,0.1961104883,0.1859016446,0.1718654836,0.159164301,0.1513840516,0.1022195322,0.1238130548,0.1094475488,0.1001099482,0.08824343687,0.07843701967,0.07954297553,0.0714937897,0.07428383516,0.06448639459,0.06084773707,0.05772801409,0.05469867414,0.04885234285,0.04865394356,0.04554162708,0.05002007606,0.0421129546,0.04067377665,0.03928186296,0.03827720372,0.03693924407,0.03518383921,0.03343325512,0.03330512645,0.03054755846,0.02974725416,0.02863754563,0.02851640452,0.02626135147,0.02578830864,0.02388579079,0.02781689166,0.02239098919,0.02206864076,0.02131730529,0.02086493929,0.01966167001,0.01943768881,0.01937987825,0.01864556105,0.01756433058,0.01714801169,0.01675972583,0.01629345514,0.01536196988,0.01493153985,0.01447813072,0.01635146183
100,0.4223927095,0.3640644254,0.3190750327,0.3199290546,0.2817295312,0.2813099272,0.3740176513,0.3518805276,0.2321955969,0.2241251931,0.213533378,0.2032608136,0.1825946516,0.1748961794,0.1623067304,0.1173651385,0.141454049,0.1283837712,0.1246839468,0.1034405143,0.09044481824,0.09012890086,0.0855086485,0.07728832543,0.07095004361,0.06918119648,0.0643755225,0.06280993526,0.05596577085,0.05550708708,0.05068886733,0.05564632721,0.04692996251,0.04617975255,0.0446233083,0.04209703844,0.04061422154,0.04124748135,0.04056201463,0.03858522256,0.0363566547,0.03559827278,0.03388284834,0.03250760277,0.0318898349,0.03200969383,0.02782517695,0.03127528001,0.02604895373,0.02578104921,0.02525152476,0.02481251177,0.02374292094,0.02274054258,0.02253875658,0.02173409991,0.02097850385,0.02047668747,0.02000179765,0.01961345344,0.018150268,0.01744344983,0.01754722151,0.02039478042
