,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
210,0.5076672653,0.9580523209,1.337753362,1.677556799,2.395368961,2.595193559,3.190350917,3.529190497,2.530896331,2.783322921,2.992374745,3.060884883,3.272853827,3.406027869,3.564614783,2.601904933,2.930423685,3.026131635,3.086999477,3.12203825,3.206207546,3.376428603,3.463463263,3.45388512,3.30019291,3.266380561,3.01160442,3.082049309,3.130628526,2.841177099,2.762171379,2.553552684,2.871405045,2.869594075,3.093834993,2.971921463,3.002108628,2.997945108,3.004777641,3.043863228,2.837597752,2.704326835,2.75197367,2.719202595,2.807184347,2.755389751,2.751510781,2.422173391,2.590387182,2.540957982,2.623181276,2.599526636,2.676203033,2.634037514,2.646807748,2.545120052,2.518827924,2.501068216,2.560252425,2.527792037,2.561628441,2.547610127,2.556543785,2.361753619
220,0.5065969566,0.9737559942,1.350588226,1.719836726,2.115480121,2.637256005,3.13408655,3.558674713,2.531872378,2.795002635,3.00464615,3.168974036,3.304623615,3.468517373,3.574040254,2.637733446,2.945986176,3.014748016,3.066477407,3.139843099,3.231334056,3.388414052,3.491247898,3.440202836,3.307371479,3.343559958,3.335872302,3.161744275,3.158670034,3.027488835,2.367238391,2.664159597,2.603922299,2.952781481,3.047612997,3.055420092,3.183948359,3.129325204,3.173544424,3.275522863,2.881295746,2.864826576,2.80094008,2.802901501,2.875572258,2.875493691,2.803994122,2.424587305,2.651738271,2.647704571,2.690640466,2.697435102,2.730527249,2.752555669,2.735481397,2.666843014,2.592681673,2.579448627,2.608010816,2.623705814,2.626376124,2.599673309,2.58182998,2.339913128
230,0.5143216614,0.9806450895,1.385872394,1.749769548,2.494783391,2.687021099,3.289878263,3.558914347,2.576711215,2.808391318,3.035992296,3.111831029,3.369942824,3.527048418,3.665742608,2.696359009,2.938307577,3.061984234,3.15404711,3.193597184,3.247525368,3.436294903,3.554143936,3.58613953,3.33827578,3.376160053,3.444670938,3.375558624,3.322210344,3.216231366,3.04860027,2.727747743,2.361161148,2.823848513,3.011491852,3.237478281,3.1741959,3.245047654,3.269451784,3.345258873,3.037951918,2.900928029,2.964468378,2.922245274,3.000720538,2.947534375,2.914920741,2.500462832,2.73778019,2.759562615,2.772867564,2.793338325,2.845211184,2.819750011,2.845930972,2.764525579,2.698016157,2.687844717,2.719832812,2.732252169,2.757892567,2.74030596,2.694272236,2.541882076
240,0.5120213004,0.9804095002,1.431670922,1.76365916,2.199077323,2.631909647,3.163343086,3.568401207,2.544739462,2.800952747,2.926110819,3.185881804,3.298382744,3.493193555,3.651713232,2.668174822,2.94189497,3.024765085,3.144549537,3.134942106,3.285753263,3.383353278,3.565336866,3.566337729,3.337908666,3.290054027,3.304917508,3.25418531,3.394521573,3.139870061,3.414614454,2.690775426,2.451275125,2.413381459,2.711865998,3.187920554,3.265031681,3.273789199,3.325860969,3.270964597,3.331746245,2.910537447,3.055734911,2.898557274,2.978259935,2.932174078,2.962290709,2.452388331,2.769142357,2.747739941,2.817175449,2.78318231,2.251195703,2.822913409,2.87985835,2.811841245,2.724008162,2.676205607,2.742692408,2.72053455,2.781015808,2.744865811,2.751397183,2.269059711
250,0.5209012356,0.9948822514,1.439166002,1.790504332,2.302031281,2.754075701,3.257996609,3.649571323,2.557724255,2.822090835,2.992549267,3.23822561,3.424102801,3.575477652,3.604538467,2.776252756,2.898665217,3.043905472,3.107326082,3.214750963,3.222538969,3.369386745,3.462486225,3.597303233,3.356511666,3.389717336,3.419646719,3.456690243,3.530366532,3.466122349,3.564086625,2.794226947,2.491866491,2.494527627,3.438624763,2.864890335,3.431006439,3.510769418,3.413012389,3.342516009,3.282013693,3.294951697,3.09943096,3.019553178,3.059108029,3.04699931,3.020002542,2.473456219,2.851069893,2.85000514,2.855788615,2.928852317,2.96512288,2.996355972,2.973371999,2.974148806,2.812405869,2.804168633,2.829142501,2.842584572,2.826743121,2.853695714,2.852687542,2.254909433
260,0.5254244945,1.008146402,1.449355845,1.836272039,2.345508671,2.681038107,3.223314229,3.613904487,2.549624654,2.781207678,3.033264883,3.248501549,3.47023943,3.620690022,3.710095783,2.700451072,2.936758257,3.016905137,3.167573835,3.204769132,3.316766904,3.390454107,3.519638416,3.619906601,3.328751374,3.373293417,3.511916777,3.376192147,3.607039345,3.544044329,3.643054582,2.817526053,2.668255093,3.414155759,3.433208787,3.414406753,2.979530632,3.508370663,3.637897503,3.265865634,3.537419917,3.469019147,3.550862081,3.208387538,3.261731109,3.087319155,3.113728279,2.399510321,2.875585895,2.810799005,2.964724667,2.882027994,2.424328775,2.392699983,3.075200912,2.943918354,2.899702589,2.812944,2.932388413,2.831041969,2.953728108,2.879126106,2.903022087,2.402425909
270,0.5197440595,1.000784165,1.456227174,1.842317909,2.314661761,2.841898007,3.295665012,3.613604229,2.545758314,2.805654294,3.007686299,3.206088777,3.523010065,3.699142334,3.754802737,2.731090229,2.915942962,3.065241334,3.173100108,3.240225707,3.367419544,3.462876002,3.61562578,3.669105139,3.370618291,3.44082412,3.523789785,3.538457814,3.666477526,3.734592606,3.729891561,2.830199022,2.970528342,2.722676013,2.67933556,3.466542904,3.08214781,3.23068251,3.277639461,3.485833636,3.57099432,3.550619571,3.522596433,3.610598846,3.319152834,3.257113261,3.189114475,2.450935919,2.918760388,2.934635692,2.978188087,3.006904361,3.070005977,3.118015327,3.131163879,3.119818922,2.964755744,2.966908989,2.961283818,2.942565906,3.013660192,3.006179318,2.963486739,2.354280301
280,0.5733796162,1.009485887,1.460377571,1.880675067,2.366976446,2.933838243,3.323513383,3.645530212,2.531167496,2.814130553,2.986881563,3.238421306,3.47194721,3.673117802,3.77633442,2.731466721,2.882034479,3.015765427,3.131464279,3.241557386,3.365226405,3.499486263,3.632629332,3.704366429,3.36913651,3.428076602,3.518735164,3.503598172,3.612567567,3.661395635,3.741422385,2.844003027,3.252801978,2.857776875,2.806124096,3.067187567,3.073868466,3.267090756,3.206714444,3.389714606,3.556097927,3.550126851,3.54701465,3.443479856,3.565119132,3.341480125,3.257073345,2.403001676,2.951794491,2.953134898,3.001474049,2.996612376,3.089559774,3.130047657,3.135553554,3.176881348,3.006102926,2.947068046,3.012808005,2.960275766,3.01397085,3.018861405,3.001034983,2.27021857
290,0.5236279328,1.031300907,1.502058901,1.948522515,2.335613223,2.891743534,3.303083452,3.646930918,2.5461115,2.827112463,3.035192596,3.272179183,3.592890396,3.683997827,3.894224174,2.771198106,2.909065553,3.051013366,3.180087248,3.293045549,3.40992478,3.57156381,3.670109232,3.800305262,3.362079299,3.478709833,3.480001486,3.530322105,3.644734802,3.815563939,3.785842026,2.888137544,3.426009432,3.071835094,2.922430114,3.17355911,3.233071398,3.452956592,3.673488326,3.558072097,3.561921022,3.640752644,3.492631937,3.601413585,3.606521079,3.653155108,3.525979451,2.486837354,3.101885157,3.033788345,3.060964298,3.06817283,3.146199834,3.200596078,3.214637594,3.361328725,3.003634508,3.040315045,3.00626809,3.092915581,3.079155194,3.095461479,3.050426587,2.317006752
300,0.5196089494,1.00573325,1.471736367,1.913571915,2.384943072,2.814350547,3.320823446,3.640522768,2.533104702,2.798730878,3.021799899,3.246867542,3.557162721,3.776518403,3.883270311,2.846547195,2.888254154,3.032660195,3.167528277,3.280395069,3.404291352,3.543435589,3.68391815,3.813674701,3.379176947,3.445353206,3.530762525,3.580812706,3.667661841,3.784338495,3.873549137,2.884058659,3.431395985,3.205963722,3.488195162,3.224179135,3.252637551,3.630166058,3.69014902,3.49704617,3.564057192,3.549141383,3.568201817,3.504190043,3.602598749,3.646544294,3.481174277,2.473774121,3.15100788,3.052855921,3.094299832,3.069086332,3.175444515,3.18498462,2.941070619,3.261091586,3.050971274,3.00035555,3.043271175,3.054554265,3.115643518,3.112519978,3.125064515,2.344189239
