10,0.000461,0.006546,0.005204,0.005337,0.006169,0.006602,0.007263,0.007522,0.008213,0.014232,0.010951,0.014263,0.013126,0.018067,0.016175,0.027982,0.011985,0.023157,0.031363,0.032426,0.030771,0.033274,0.036893,0.039224,0.047752,0.034612,0.040582,0.039341,0.049822,0.042813,0.038131,0.050958,0.023514,0.044397,0.032506,0.043189,0.058541,0.04321,0.057473,0.044114,0.063237,0.057593,0.040379,0.05755,0.043294,0.063365,0.044918,0.063357,0.029684,0.072132,0.072994,0.043844,0.067802,0.058556,0.07516,0.07281,0.06451,0.062265,0.069954,0.065548,0.06345,0.077244,0.069521,0.067627,0.040071
20,0.010305,0.030735,0.021487,0.02002,0.020974,0.034484,0.034274,0.036355,0.043317,0.043866,0.041806,0.045228,0.061283,0.070575,0.069949,0.072124,0.051456,0.116912,0.108734,0.124674,0.12207,0.128933,0.106777,0.126284,0.134304,0.133324,0.110621,0.138268,0.144111,0.122924,0.126672,0.163684,0.092037,0.141747,0.170585,0.168666,0.176923,0.200702,0.178862,0.19234,0.19917,0.189073,0.189627,0.186404,0.190917,0.217567,0.201928,0.182769,0.131688,0.216732,0.246353,0.224066,0.23605,0.258278,0.238271,0.260937,0.243085,0.271541,0.262962,0.268223,0.279419,0.283116,0.278878,0.252934,0.195692
30,0.054252,0.143008,0.096462,0.075862,0.081008,0.079113,0.072474,0.081095,0.076211,0.102849,0.112007,0.119393,0.148722,0.119615,0.132356,0.163052,0.120638,0.212176,0.198674,0.186937,0.219899,0.248269,0.244154,0.215469,0.255631,0.230612,0.274443,0.233794,0.265367,0.248377,0.271548,0.252186,0.224492,0.309684,0.332831,0.348824,0.32399,0.349235,0.370028,0.35087,0.370867,0.406358,0.420968,0.397134,0.408828,0.396689,0.410267,0.443251,0.274118,0.457944,0.42445,0.448753,0.460155,0.497111,0.471169,0.480779,0.442874,0.401437,0.425907,0.424418,0.422675,0.446933,0.446722,0.445525,0.363102
40,0.164944,0.318366,0.18238,0.162749,0.145002,0.171827,0.156841,0.15751,0.160519,0.163576,0.155795,0.15519,0.208909,0.261123,0.292528,0.287312,0.212981,0.290217,0.28948,0.302779,0.30089,0.302773,0.305395,0.321428,0.317641,0.337051,0.365497,0.365068,0.389871,0.407392,0.425517,0.422739,0.374796,0.422485,0.453336,0.448591,0.469945,0.48874,0.466014,0.481213,0.482959,0.501713,0.509343,0.553132,0.549087,0.558516,0.573295,0.581789,0.472219,0.607718,0.631537,0.621432,0.647878,0.651463,0.676281,0.667956,0.673957,0.682043,0.682049,0.712529,0.729001,0.738778,0.784468,0.772342,0.646595
50,0.47867,1.51676,0.56722,0.431246,0.354616,0.370488,0.363144,0.320062,0.32005,0.39836,0.388116,0.380782,0.377291,0.412806,0.393841,0.462032,0.50316,0.568505,0.559482,0.58027,0.575535,0.626195,0.582754,0.609155,0.609789,0.671327,0.665719,0.735376,0.748342,0.75202,0.832582,0.850654,0.703906,0.900897,0.832682,0.862394,0.876601,0.92173,0.951553,0.962542,0.977125,1.031997,1.009607,1.037232,1.065248,1.116022,1.123608,1.093841,0.928025,1.164031,1.20421,1.20307,1.21223,1.240361,1.253214,1.281427,1.242689,1.349153,1.304694,1.369759,1.391408,1.47685,1.463477,1.480899,1.156113
60,0.931133,2.572966,1.072671,0.72735,0.613031,0.569947,0.516205,0.53815,0.532688,0.554833,0.577371,0.574669,0.577318,0.598587,0.577531,0.614505,0.75342,0.881068,0.830363,0.838349,0.84461,0.885069,0.935781,0.907828,0.939526,0.923506,0.963451,0.983558,1.046356,1.080117,1.108557,1.139067,0.913469,1.154697,1.186606,1.149097,1.214021,1.232715,1.3061,1.274324,1.253078,1.306554,1.337876,1.406991,1.425518,1.435364,1.411686,1.513794,1.274987,1.553319,1.598407,1.603686,1.598333,1.775435,1.675858,1.627871,1.650833,1.731528,1.725171,1.794655,1.815087,1.88534,1.801519,1.939082,1.625014
70,1.864798,4.848141,2.967954,1.35704,1.100797,0.996052,0.888001,0.880172,0.891669,1.043348,1.021626,0.971595,0.946901,0.969368,0.980577,0.985447,1.269417,1.26589,1.279962,1.34821,1.314917,1.337721,1.384556,1.420341,1.300315,1.524795,1.912134,1.93823,1.865377,1.932332,1.92067,2.087158,1.58016,2.277113,2.352578,1.844128,1.85409,1.952338,1.87946,2.016807,1.968862,2.077121,2.092447,2.100367,2.148262,2.263272,2.297922,2.30844,2.090086,2.392231,2.408708,2.436238,2.467443,2.806331,2.551621,2.472886,2.580005,2.666532,2.633134,2.641217,2.713829,2.791555,2.844414,2.838239,2.602756
80,3.029446,7.699311,4.923082,3.284619,1.796136,1.596199,1.42901,1.363092,1.296018,1.640652,1.568468,1.47879,1.451992,1.465403,1.435963,1.427004,1.919205,1.770324,1.865567,1.86984,1.915149,1.953722,2.024582,1.924254,2.039213,2.104911,1.991456,2.136926,2.153626,2.328002,2.265521,2.332184,2.110383,2.528066,2.534807,2.493988,2.541946,2.739228,2.683215,2.738457,2.721289,2.917971,2.839296,2.903026,2.91826,3.102438,3.112382,3.10825,2.70923,3.333194,3.260921,3.292099,3.303869,3.481833,3.475571,3.433296,3.473239,3.587974,3.610955,3.617595,3.716345,3.974628,4.012532,3.821542,3.513286
90,4.756826,11.665892,6.989749,5.061821,2.847568,3.462982,2.062431,1.853637,1.94681,2.403106,2.318384,2.205077,2.132322,2.129047,2.134733,2.094816,2.908462,2.259966,2.414564,2.500843,2.695286,2.887865,2.718271,2.892818,2.668159,2.950592,3.006765,3.051876,3.105864,3.357638,3.258952,3.369357,2.971823,3.422848,3.439726,3.459849,3.45203,3.480387,3.557873,3.648161,3.570641,3.798017,3.807335,3.862896,3.79114,4.025202,4.009928,4.237208,3.562603,4.335587,4.310937,4.37537,4.384265,4.564792,4.531885,4.46276,4.555686,4.751282,4.782726,4.81059,4.865784,5.076221,5.138318,5.215119,4.54549
100,6.744967,15.968474,9.263425,7.046375,5.270674,4.788257,3.996166,2.57626,2.396043,3.227627,3.009464,2.871583,2.765317,2.841505,2.754682,2.770461,3.591871,2.804888,2.918752,2.847185,3.260312,3.551214,3.401677,3.429588,3.636258,3.802657,3.749889,3.880568,3.835248,4.155845,4.050514,4.292453,3.787855,4.355276,4.295852,4.31867,4.450674,4.488487,4.303272,4.263789,4.370175,4.524932,4.511299,4.629472,4.715657,4.700186,4.580791,5.157557,4.49301,5.284373,5.2325,5.237476,5.227641,5.360062,5.492692,5.441106,5.541791,5.640667,5.679265,5.71556,5.731582,6.092099,6.236713,6.10142,5.167504
110,10.282181,23.746825,13.617444,10.122349,7.848927,6.319458,5.263859,4.716961,3.548314,4.797193,4.467687,4.156972,3.938185,3.99749,3.971885,3.992936,4.78818,4.076849,4.012866,4.083951,4.002653,4.479984,4.624351,4.729874,5.059355,5.328681,5.304612,5.244612,5.363453,5.859695,5.755087,5.78509,5.436649,6.038634,5.974509,6.090472,6.035747,5.994392,6.083014,6.182548,6.020042,6.408787,6.452551,6.438338,6.410117,6.899569,6.752045,7.029184,6.24253,7.096077,7.109194,7.085386,7.156708,7.2586,7.397387,7.261711,7.352102,9.467963,7.926886,7.67187,7.678391,7.952892,8.04847,8.232306,6.772282
120,14.943865,32.96382,19.326616,14.007603,11.071131,9.39957,6.378085,6.606124,5.117291,6.67011,6.336871,5.896563,5.60732,5.473082,5.573302,5.389904,7.007027,5.670058,5.669848,5.623964,5.666885,5.923274,6.123897,6.233507,6.614544,7.068025,7.135514,7.049362,7.100245,7.577052,7.351666,7.906,8.867942,8.080261,8.074106,7.96684,8.0633,8.401429,8.267117,8.319371,8.321092,8.597338,8.690782,8.633772,8.596311,8.911004,8.724086,8.977666,7.693158,9.271278,9.247567,9.183456,9.300165,9.556887,9.517181,9.382877,9.602461,9.847173,10.092866,10.00933,9.980195,10.045556,10.552407,10.672082,8.705586
130,17.433336,36.945419,21.8643,15.733982,12.524673,10.269913,8.389651,6.908588,5.698398,7.796538,7.22648,6.767014,6.326797,6.02378,5.961587,6.004837,8.11988,6.538008,6.383964,6.310251,6.427041,6.573554,6.276522,6.547404,6.36744,7.465078,7.497262,7.333146,7.740515,7.762977,7.706151,8.519455,8.416606,8.715151,8.701348,8.528576,8.582994,8.615117,8.670529,8.889799,9.132323,9.133581,9.112387,9.04435,9.099929,9.455444,9.583632,9.999673,9.239293,10.919647,9.926104,9.866053,9.908841,10.174857,10.064767,10.007812,10.059726,10.453999,10.443909,10.464685,10.530057,10.520988,10.600386,10.22207,9.124229
140,28.006358,58.684145,34.279314,24.811018,19.460351,14.267485,13.57159,9.564041,9.118116,12.370286,11.499144,10.727871,9.950319,10.001406,9.269197,9.298237,12.548537,10.337094,10.004817,10.192127,10.081058,9.782706,9.553753,9.53213,9.999864,10.64152,11.470431,11.275369,11.589512,11.664517,11.83455,12.181203,13.541978,13.215814,13.178489,12.962356,12.912734,12.942493,12.751347,12.843063,13.380192,13.916016,13.849741,13.796082,13.74141,13.775233,14.065302,14.138606,14.428167,14.969572,14.873915,14.84805,14.872945,15.19951,15.129207,15.089194,15.1155,15.753358,15.840322,15.867358,15.604448,16.034346,16.188255,15.889256,13.703719
150,36.218877,75.526184,42.980399,30.447574,24.236669,19.538025,15.590082,12.584068,11.342858,15.759752,14.461039,13.522658,13.214148,12.211455,11.851324,11.495449,15.004088,13.023359,12.758735,12.591634,12.504914,12.32588,12.449996,12.002215,12.525282,12.823361,13.913375,13.710272,13.842639,14.153564,14.414473,14.520887,16.764186,16.072263,16.175211,15.953639,15.7805,15.767583,15.682363,15.852893,16.486083,17.062436,17.191324,16.855919,16.693539,16.43771,16.557119,17.553668,17.305849,18.089309,18.106174,17.872509,17.858796,18.501881,18.534966,18.558445,18.416092,19.008486,18.980171,18.947679,18.734502,19.34319,19.134383,19.392666,17.388214
160,45.429013,93.197987,53.169496,37.995522,26.532536,24.856868,21.397253,16.064626,13.937912,19.103442,18.133651,16.583275,16.014534,14.994894,14.480166,14.044804,18.235562,16.164042,16.018439,15.702639,16.12415,15.37223,15.087224,15.465226,15.688914,15.513042,15.916275,15.784225,16.901943,16.855696,16.970346,17.33726,21.721334,19.101246,19.2869,19.087564,19.147993,18.816783,18.849753,18.766566,19.455106,20.453215,20.635557,20.05396,20.348955,20.924882,20.577973,20.468717,22.929354,21.642036,21.467445,21.418506,21.322949,21.440339,21.778001,21.587946,21.799317,22.401753,22.557062,22.469152,22.596739,22.805344,23.180006,22.957153,21.069269
170,58.834795,120.012107,66.834463,48.25591,36.992321,29.875002,26.459431,20.758749,18.046419,24.542484,22.32763,21.584602,20.757577,19.139833,18.50807,17.720648,23.622484,20.707723,20.099488,20.121102,20.251111,19.314214,19.315486,19.194665,18.825938,20.011633,20.354972,20.208857,20.263058,20.082334,20.728814,21.56937,26.405505,24.013078,23.768734,23.620731,23.419268,23.277962,22.880126,23.592115,23.634997,25.794981,25.346038,25.341513,25.019683,25.071281,25.409407,25.74544,26.861132,26.745564,26.384047,26.825962,26.240167,26.411155,26.41893,26.774714,26.769028,27.568324,27.663237,27.953274,27.654921,28.351316,27.944918,28.468346,26.636807
180,73.308906,147.675225,81.16908,58.946667,46.662222,36.327814,28.994347,24.734513,22.041875,29.370598,26.967176,26.264886,24.587811,23.449754,22.151469,21.632679,29.516792,25.526073,24.458902,24.523008,24.846251,23.763222,22.987538,23.154169,22.624807,24.227514,24.117744,24.175816,26.150745,23.345405,24.053424,24.198756,29.353253,27.999105,28.865971,28.37579,28.212991,27.43351,27.58989,27.775676,28.08443,30.075584,30.051354,30.191116,29.838415,29.862893,30.399511,29.808226,33.237228,31.605466,31.565976,31.380809,31.110445,31.073565,31.295263,31.563462,31.689693,32.765537,32.59071,32.308203,32.420929,32.735855,33.431105,33.311427,32.295634
190,91.620696,183.497413,99.289397,71.675125,56.888244,44.885336,34.056863,31.432951,26.843187,36.649355,33.614908,31.352952,30.409157,29.596698,27.314629,27.324023,36.083022,32.591555,30.634044,30.263907,30.365452,28.995955,27.676778,27.980674,27.400555,30.199372,28.841924,30.550817,32.483125,32.438772,33.761803,34.647849,36.09344,36.231845,36.438895,36.318714,35.252989,35.608818,36.35281,37.029246,36.732559,36.513809,36.294439,36.759496,36.927088,38.450295,39.486095,39.021417,42.639673,38.520853,38.320167,38.096831,38.044462,39.266655,37.524209,37.825681,37.967939,39.189415,39.429235,39.212556,38.889221,39.564387,39.22463,39.657032,41.316984
200,105.261817,209.411564,111.255704,80.937353,63.705093,47.758054,39.993459,34.309634,30.255955,41.447765,37.867362,35.628094,35.434004,32.815556,31.508817,29.79317,41.836193,35.928098,35.22838,34.396805,34.448267,32.808485,31.839109,31.175482,30.783438,33.45891,32.376461,33.538357,34.480505,32.868122,33.771427,36.360458,42.639236,35.518687,36.480465,36.984104,37.929437,37.011477,36.79062,36.585438,37.426314,40.035217,39.716214,39.649249,39.887331,39.166947,39.561225,40.526287,44.087513,42.150127,42.481477,41.5523,41.196383,41.31207,41.108832,42.070345,42.440006,43.271227,43.712563,43.080975,43.097755,42.864466,43.182735,43.801203,44.705236
210,116.291376,229.07007,121.383116,86.930356,69.321871,48.548419,44.81029,36.450967,32.951289,45.948692,41.781489,38.862571,37.992731,35.532102,34.142814,32.623827,44.694706,39.684151,38.429054,37.67133,37.248543,36.270695,34.442125,33.576616,33.669729,35.237751,35.602519,38.614426,37.731835,37.146335,40.930703,42.101434,45.541013,40.499816,40.525375,37.588099,39.13003,38.736565,38.790362,38.702157,38.205191,40.982333,43.001968,42.257445,42.76672,41.426341,42.205055,42.264554,48.011169,44.893434,45.766745,44.332192,44.735597,43.453869,44.149476,43.936465,45.691902,46.168845,46.496683,45.42184,46.00512,45.397441,45.647242,45.487731,49.239419
220,133.870567,264.254582,137.478555,99.120194,77.839114,63.281411,50.761309,42.714381,37.618096,52.874137,47.896401,44.55452,42.244135,40.51008,38.595905,37.456368,50.752121,45.441682,44.405226,43.65614,42.636069,41.428885,39.508326,38.344618,38.913568,40.476423,40.038333,40.130603,42.340732,42.381941,44.218352,56.551367,50.248704,51.411122,45.337106,43.926367,43.814128,42.045458,42.779372,42.183297,40.869984,46.461932,46.72903,47.79487,47.761424,46.554409,46.555681,47.742813,55.213754,50.48408,50.560991,49.754164,49.628837,49.027369,48.635008,48.938577,50.198143,51.634016,51.898908,51.330526,51.023467,50.97159,51.49515,51.851039,57.211768
230,182.894676,355.603681,186.504453,131.970791,104.525008,73.310844,68.065962,55.593144,51.390581,70.979889,65.124356,60.242141,58.773974,54.272338,51.854881,49.89294,67.830239,62.244905,59.73077,57.9873,57.269175,56.318167,53.224383,51.459558,51.000435,54.787168,54.172395,53.094963,54.182047,55.052106,56.866144,59.993,67.049703,77.459633,64.767878,60.73225,56.492943,57.619215,56.361168,55.940472,54.672802,60.203282,63.046954,61.695607,62.587038,60.950253,62.050057,62.744305,73.144329,66.804003,66.27669,65.958677,65.475304,64.281582,64.862018,64.265324,66.157708,67.788577,68.045105,67.244823,66.939164,66.316824,66.742429,67.882775,71.952463
